Designator,Mid X,Mid Y,Rotation,Layer
C1,71.0,-113.3,90.0,top
C10,89.448,-114.6,270.0,top
C11,69.8,-105.9,270.0,top
C12,100.1,-113.3,0.0,top
C13,76.5,-136.6,270.0,top
C14,117.4375,-126.6,90.0,top
C15,118.437501,-126.6,90.0,top
C16,84.9,-132.6,180.0,top
C17,85.4,-131.2,180.0,top
C18,92.0,-136.5,225.0,top
C19,92.7,-133.5,135.0,top
C2,83.1,-100.38,90.0,top
C20,94.6,-122.5,270.0,top
C21,96.5,-100.7,180.0,top
C22,85.9,-119.6,0.0,top
C23,106.4,-101.5,270.0,top
C24,83.0,-128.3,90.0,top
C25,94.6,-124.8,270.0,top
C26,95.6,-124.8,270.0,top
C27,101.5,-124.8,270.0,top
C28,140.2,-110.6,0.0,top
C29,119.0,-109.8,270.0,top
C3,73.4,-113.3,90.0,top
C30,120.4,-109.4,270.0,top
C31,120.4,-106.0,90.0,top
C32,107.200001,-126.4,270.0,top
C33,110.5,-124.3,180.0,top
C34,108.199999,-126.4,270.0,top
C35,95.448,-114.1,90.0,top
C36,85.9,-118.1,0.0,top
C4,78.8,-104.5,0.0,top
C5,94.448,-114.099999,90.0,top
C6,96.4,-104.1,180.0,top
C7,89.648,-112.5,180.0,top
C8,72.199999,-100.6,90.0,top
C9,69.8,-100.6,90.0,top
D1,79.000001,-108.5,90.0,top
D2,71.4,-117.5,180.0,top
D3,71.4,-132.3,180.0,top
D5,118.8,-106.4,270.0,top
FB1,98.6,-124.8,0.0,top
J1,89.0,-100.31,180.0,top
L1,76.8,-100.1,180.0,top
Q3,143.3,-132.4,0.0,top
Q4,147.3,-126.8,180.0,top
Q5,147.3,-130.4,180.0,top
Q6,77.2,-120.0,90.0,top
Q8,77.2,-128.2,270.0,top
R1,86.3,-105.7,180.0,top
R10,89.4,-131.9,135.0,top
R12,144.8,-126.4,90.0,top
R13,77.1,-123.2,90.0,top
R14,77.1,-125.2,270.0,top
R15,148.1,-112.6,90.0,top
R16,144.9,-114.6,270.0,top
R17,143.8,-114.6,90.0,top
R18,148.1,-117.3,270.0,top
R19,143.9,-118.4,270.0,top
R2,91.7,-105.7,0.0,top
R20,142.8,-118.4,90.0,top
R21,148.1,-122.6,90.0,top
R22,143.9,-120.8,90.0,top
R23,142.8,-120.8,270.0,top
R24,140.4,-106.8,315.0,top
R3,105.3,-101.490001,90.0,top
R4,71.6,-104.5,270.0,top
R5,71.6,-106.5,270.0,top
R6,95.0,-117.1,180.0,top
R7,95.0,-116.0,180.0,top
R8,77.7,-139.9,90.0,top
R9,77.6,-136.6,270.0,top
U1,75.035,-107.2,270.0,top
U2,85.2,-108.0,0.0,top
U3,97.2,-108.8,0.0,top
U4,92.1,-114.9,180.0,top
U5,72.2,-137.9,270.0,top
U6,120.3,-126.6,90.0,top
U7,88.8,-125.4,0.0,top
U9,110.5,-126.4,180.0,top
Y1,90.3,-134.9,45.0,top
